Name,Class,Created,Date,Materials,Reviewed,Type
Variables,Python,"February 20, 2024 8:25 PM",,,No,
"If, Else and While, For",Python,"February 20, 2024 8:25 PM",,,No,
Functions,Python,"February 20, 2024 8:25 PM",,,No,
Lists and Dictionaries,Python,"February 20, 2024 8:25 PM",,,No,
Class,Python,"February 20, 2024 8:25 PM",,,No,
Exceptions,Python,"February 20, 2024 8:25 PM",,,No,
Open Read and Write to Files,Python,"February 20, 2024 8:25 PM",,,No,
JSON Files,Python,"February 20, 2024 8:25 PM",,,No,
Datetime,Python,"February 20, 2024 8:25 PM",,,No,
SMTPLIB,Python,"February 20, 2024 8:25 PM",,,No,
Tkinter,Python,"February 20, 2024 8:25 PM",,,No,
Numpy,Python,"February 20, 2024 8:25 PM",,,No,
Pandas,Python,"February 20, 2024 8:25 PM",,,No,
Matplotlib Pyplot,Python,"February 20, 2024 8:25 PM",,,No,
Plotly Express,Python,"February 20, 2024 8:25 PM",,,No,
Seaborn,Python,"February 20, 2024 8:25 PM",,,No,
Scikit Learn,Python,"February 20, 2024 8:25 PM",,,No,
Requests,Python,"February 20, 2024 8:25 PM",,,No,
Beautiful Soup,Python,"February 20, 2024 8:25 PM",,,No,
Selenium,Python,"February 20, 2024 8:25 PM",,,No,
Flask,Python,"February 20, 2024 8:25 PM",,,No,
Terminal,Python,"February 20, 2024 8:25 PM",,,No,
HTML Basics,Web Development,"February 20, 2024 8:25 PM",,,No,
CSS Basics,Web Development,"February 20, 2024 8:25 PM",,,No,
CSS Selectors,Web Development,"February 20, 2024 8:25 PM",,,No,
Flexbox,Web Development,"February 20, 2024 8:25 PM",,,No,
Grid,Web Development,"February 20, 2024 8:25 PM",,,No,
Bootstrap,Web Development,"February 20, 2024 8:25 PM",,,No,
JS,Web Development,"February 20, 2024 8:25 PM",,,No,
Document Object Model (DOM),Web Development,"February 20, 2024 8:25 PM",,,No,
jQuery,Web Development,"February 20, 2024 8:25 PM",,,No,
Bash,Web Development,"February 20, 2024 8:25 PM",,,No,
Node.js,Web Development,"February 20, 2024 8:25 PM",,,No,
Express.js with Node.js,Web Development,"February 20, 2024 8:25 PM",,,No,
EJS,Web Development,"February 20, 2024 8:25 PM",,,No,
"Git, Github",Web Development,"February 20, 2024 8:25 PM",,,No,
